name,birth
W C Cosens,Canada
H S Kenser,Canada
George Wood,Canada
William Walch,Canada
A Charles Tildon,Canada
W Taylor,Canada
S L Terrill,Canada
John B Surprise,Canada
Lewis G Taylor,Canada
A Straton,Canada
Fred Benard,Canada
Lewis Russell,Canada
James F Russell,Canada
James Polin,Canada
J Perfountain,Canada
G A McIlhenny,Canada
Thomas Martin,Canada
John Lawrence,Canada
E S Langmade,Canada
Samuel Hitchcock,Canada
John Balentine,Canada
E Gridley,Canada
Joseph Farrall,Canada
W H Farrall,Canada
William Donovan,Canada
John Cooper,Canada
Stephen Cook,"Stanstead, Canada"
Henry Cousins,"P.E.I., Canada"
John Coleman,"St. John, New Brunswick, Canada"
Joseph Clearnott,Canada
Simon Cleallwater,Canada
Joseph Cochrane,"New Brunswick, Canada"
Joseph Champagne,Canada
John Clark,"St. John, New Brunswick, Canada"
James Bush,Canada
Alonzo Bush,Canada
Donald J Cameron,Canada
Alexander Carbino,Canada
Henry Buckley,Canada
Daniel Burns,"New Brunswick, Canada"
Theodore Burke,Canada
William Brown,"New Brunswick, Canada"
George Brown,"New Brunswick, Canada"
Joseph Broruillar,Canada
Charles Brown,Canada
William Buck,Canada
Peter Bully,Canada
Thomas Brown,"New Brunswick, Canada"
William Smith,"Quebec, Canada"
Alonzo H Place,"Providence of Quebec, Canada"
Charles Sabourin,"Montreal, Canada"
Albert St Dois,Canada
George Trudeau,Canada
Franklin B Mason,"Windsor, Canada"
William H Perkins,"Montreal, Canada"
Charles Melville,Canada
Henri Cesaire St Pierre,"Rigaud, Quebec, Canada"
Alphonso Matthews,"Montreal, Canada"
Charles Bradshaw,"St. John, New Brunswick, Canada"
Wilbert M Bowes, Woodsville Canada
Frank Brano,Canada
William Wright,Canada
George Young,Canada
James Wooton,"Inverness, Canada"
Isaac Wilder,"St. John, New Brunswick, Canada"
John Wilson,"St. John, New Brunswick, Canada"
William Wilson,Canada
John White,Canada
John Williams,"St. John, New Brunswick, Canada"
John Wier,"Granby, Canada"
John Williams,"St. John, New Brunswick, Canada"
Peter Williamson,Canada
John Wheeler,Canada
William Watson,"Montreal, Canada"
Joseph Wellett,"Quebec, Canada"
Lewis Victor,Canada
Peter Ogilvie Walker,"Ottawa, Canada"
James Walker,Canada
Joseph Trickey,Canada
Jason H Thrall,Canada
Louis Tondrier,"Quebec, Canada"
John Thompson,Canada
Joseph Talbot,Canada
Charles Thompson,Canada
Norton Stoddard,"Quebec, Canada"
Henry H Steele,Canada
Charles Stewart,"St. John, New Brunswick, Canada"
John Smith,"Toronto, Canada"
Isaac Smith,Canada
Nelson Smith,Canada
Cheater Smith,Canada
Henry Smith,Canada
Peter Smith II,Canada
Joseph Smith,Canada
Hamilton Bigham,Canada
Alexander Benar,"Quebec, Canada"
Thomas Bluer,Canada
Hamilton Bigham,Canada
Charles Simpson,Canada
Perry Seymour,Canada
Dennis Shaw,Canada
Laroy Shamony,Canada
Abram B Sinclair,Canada
Arthurwyne Shorkey,Canada
Anthony Shethron,Canada
Dennis Shaw,Canada
Charles Sawyer,Canada
Henry Sawyer,"Clifton, Canada"
Joseph Saunders,Canada
Jeremiah Ryans,"St. John, New Brunswick, Canada"
Henry C Rock,"Montreal, Canada"
Richard Roberts,Canada
James Rockwell,"St. John, New Brunswick, Canada"
Nelson Roots,"Montreal, Canada"
Alexander Rock,Canada
Thomas John Real,"Quebec, Canada"
William Reeves,"London, Ontario, Canada"
Peter Ranney,"Montreal, Canada"
John B Quintal,"Quebec, Canada"
William Ray,"New Brunswick, Canada"
Thomas Rattell,Canada
